ID,Annotation,Gene_name,Genome_ACC,ORF,Start,Stop,Strand
cg0095,biotin synthase (EC:2.8.1.6),bioB,BX927147,cg0095,74491.0,75495.0,+
cg0096,"hypothetical protein, conserved",0,BX927147,cg0096,75507.0,75746.0,+
cg0097,"putative zinc finger protein, conserved",0,BX927147,cg0097,75746.0,76039.0,+
cg0103,creatinine transporter,crnT,BX927147,cg0103,82118.0,83569.0,-
cg0104,creatinine deaminase,codA,BX927147,cg0104,83689.0,84960.0,-
cg0105,hypothetical protein,0,BX927147,cg0105,85096.0,85404.0,-
cg0107,putative secreted protein,0,BX927147,cg0107,85661.0,86221.0,-
cg0108,"putative acetyltransferase/hydrolase, SIR2-like ",0,BX927147,cg0108,86412.0,87245.0,+
cg0109,Triacylglycerol lipase 1 (EC:3.1.1.3),lip1,BX927147,cg0109,87559.0,88533.0,-
cg0110,Triacylglycerol lipase 2 (EC:3.1.1.3),lip2,BX927147,cg0110,88543.0,89445.0,-
cg0111,hypothetical protein,0,BX927147,cg0111,89616.0,90449.0,+
cg0112,"transcriptional regulator, MarR-family, function in regulation of urea metabolism was proposed but could not be shown so far ",ureR,BX927147,cg0112,90459.0,90974.0,-
cg0113,urease ? subunit (EC:3.5.1.5),ureA,BX927147,cg0113,91175.0,91477.0,+
cg0114,urease ? subunit (EC:3.5.1.5),ureB,BX927147,cg0114,91504.0,91992.0,+
cg0115,urease ? subunit (EC:3.5.1.5),ureC,BX927147,cg0115,91993.0,93705.0,+
cg0116,urease accessory protein 1,ureE,BX927147,cg0116,93730.0,94203.0,+
cg0117,urease accessory protein 2,ureF,BX927147,cg0117,94203.0,94883.0,+
cg0118,urease accessory protein 3,ureG,BX927147,cg0118,94900.0,95517.0,+
cg0119,urease accessory protein 4,ureD,BX927147,cg0119,95518.0,96369.0,+
cg0120,"putative esterase/lipase/thioesterase-family protein, hydrolase",0,BX927147,cg0120,96366.0,97145.0,-
cg0121,putative permease of the major facilitator superfamily,0,BX927147,cg0121,97317.0,98471.0,-
cg0122,putative glycerol 3-phosphate dehydrogenase,0,BX927147,cg0122,98806.0,101583.0,-
cg0123,"chaperone protein HSP90-family, heat shock protein",htpG,BX927147,cg0123,101610.0,103436.0,-
cg0124,AMP nucleosidase (EC:3.2.2.4),amn,BX927147,cg0124,103504.0,104913.0,+
cg0126,putative thiamine pyrophosphate-requiring enzyme,0,BX927147,cg0126,105171.0,105752.0,-
cg0127,putative thiamine pyrophosphate-dependent enzyme,0,BX927147,cg0127,105839.0,106393.0,-
cg0128,"putative secreted protein, signal peptide",0,BX927147,cg0128,106628.0,107179.0,-
cg0129,proline dehydrogenase/?-1-pyrroline-5-carboxylate dehydrogenase  (EC:1.5.99.8),putA,BX927147,cg0129,107436.0,110894.0,+
cg0131,putative oxidoreductase/aldo-keto reductase,0,BX927147,cg0131,111387.0,112322.0,+
cg0133,p-aminobenzoyl-glutamate transporter,abgT,BX927147,cg0133,112564.0,114087.0,+
cg0134,"metal-dependent amidase/aminoacylase/carboxypeptidase, AbgB homolog",abgB,BX927147,cg0134,114094.0,115482.0,+
cg0135,putative membrane protein,0,BX927147,cg0135,115579.0,115947.0,+
cg0136,putative membrane protein,0,BX927147,cg0136,115950.0,116267.0,+
cg0138,putative ATP/GTP-binding protein,0,BX927147,cg0138,116546.0,118501.0,-
cg0139,"putative transcriptional regulator, DeoR-family",0,BX927147,cg0139,118808.0,119590.0,-
cg0141,putative glyoxalase/bleomycin resistance protein/dioxygenase,0,BX927147,cg0141,120022.0,120414.0,+
cg0142,"phosphohistidine phosphatase, arabitol-1-phosphatase (EC:3.1.3.-)",sixA,BX927147,cg0142,120411.0,120923.0,-
cg0143,"mannitol-1-phosphate 5-dehydrogenase (EC:1.1.1.17), required for fructose utilization",mtlD,BX927147,cg0143,120949.0,122460.0,-
cg0144,"putative ribitol transporter, MFS-type",rbtT,BX927147,cg0144,122505.0,123842.0,-
cg0146,"transcriptional regulator for arabitol metabolism, DeoR-family","atlR (sucR, mtlR)",BX927147,cg0146,124122.0,124970.0,+
cg0147,xylulose kinase (EC:2.7.1.17),xylB,BX927147,cg0147,124972.0,126354.0,+
cg0148,"pantoate-?-alanine ligase protein (EC:6.3.2.1), deletion results in D-panthotenate auxotrophic strains",panC,BX927147,cg0148,126351.0,127190.0,-
cg0149,"3-methyl-2-oxobutanoate hydroxymethyltransferase (EC:2.1.2.11), deletion results in D-panthotenate auxotrophic strains",panB,BX927147,cg0149,127190.0,127999.0,-
cg0150,"putative transcriptional regulator, Fic/Doc-family, contains a Fido domain and a winged helix-turn-helix DNA binding domain",0,BX927147,cg0150,128097.0,129050.0,-
cg0151,3-methyladenine DNA glycosylase (EC:3.2.2.21),mag,BX927147,cg0151,129487.0,130056.0,-
cg0152,hypothetical protein,0,BX927147,cg0152,130146.0,130802.0,+
cg0153,putative esterase/lipase protein (EC:3.1.1.3),hde,BX927147,cg0153,130813.0,131712.0,-
cg0154,putative haloacid dehalogenase-like hydrolase,0,BX927147,cg0154,131823.0,132428.0,+
cg0155,"carbonic anhydrase, carbonate dehydratase (EC:4.2.1.1)",gca,BX927147,cg0155,132425.0,132985.0,+
cg0156,"transcriptional activator of assimilatory sulfate reduction, ROK-family, controls sulphide production in response to acceptor availability",cysR,BX927147,cg0156,132969.0,134114.0,-
cg0158,"putative membrane transport protein, MFS-family",0,BX927147,cg0158,134205.0,135479.0,-
cg0159,hypothetical protein,0,BX927147,cg0159,135516.0,136034.0,-
cg0160,hypothetical protein,0,BX927147,cg0160,136120.0,136542.0,-
cg0161,putative membrane protein,0,BX927147,cg0161,136805.0,138748.0,+
cg0162,putative membrane spanning protein,0,BX927147,cg0162,138792.0,140333.0,+
cg0163,putative N-acetylglucosaminyltransferase,0,BX927147,cg0163,140330.0,141793.0,+
cg0165,putative ABC-2-type transporter,0,BX927147,cg0165,141797.0,143530.0,+
cg0166,"putative Ankyrin repeat containing protein, conserved",0,BX927147,cg0166,143576.0,144643.0,+
cg0167,"putative membrane protein, DUF81-family",0,BX927147,cg0167,144726.0,145484.0,+
cg0168,"putative secondary chloramphenicol transporter, drug/metabolite transporter DMT superfamily",0,BX927147,cg0168,145516.0,146397.0,-
cg0170,putative transmembrane protein,0,BX927147,cg0170,146523.0,147242.0,+
cg0171,putative secreted protein,0,BX927147,cg0171,147239.0,147574.0,+
cg0172,aspartate 1-decarboxylase precursor (EC:4.1.1.11),panD,BX927147,cg0172,147571.0,147981.0,-
cg0173,"hypothetical protein, conserved",0,BX927147,cg0173,148123.0,149784.0,+
cg0174,"putative transport protein, conserved",0,BX927147,cg0174,149792.0,150931.0,-
cg0175,"putative secreted protein, signal peptide",0,BX927147,cg0175,150964.0,151455.0,-
cg0176,"putative membrane protein, DUF81-family",0,BX927147,cg0176,151591.0,152373.0,+
cg0177,hypothetical protein,0,BX927147,cg0177,152441.0,152818.0,+
cg0178,probable ATP-dependent RNA helicase protein,hrpB,BX927147,cg0178,153224.0,155653.0,-
cg0179,putative membrane protein,0,BX927147,cg0179,155854.0,156171.0,+
cg0180,maltose O-acetyltransferase (EC:2.3.1.79),maa,BX927147,cg0180,156145.0,156822.0,-
cg0181,alkylated DNA repair protein,alkB,BX927147,cg0181,156849.0,157541.0,+
cg0182,DNA-3-methyladenine glycosylase I protein (EC:3.2.2.20),tagA2,BX927147,cg0182,157585.0,158142.0,+
cg0183,"putative LysE-type translocator, threonine efflux transporter, resistance to homoserine/threonine RhtB-family",0,BX927147,cg0183,158155.0,158835.0,+
cg0184,"hypothetical protein, conserved",0,BX927147,cg0184,158870.0,159163.0,+
cg0185,putative glyoxalase/bleomycin resistance protein/dioxygenas,0,BX927147,cg0185,159163.0,160017.0,+
cg0186,putative methylated-DNA-protein-cysteine methyltransferase,0,BX927147,cg0186,160030.0,160374.0,+
cg0187,"hypothetical protein, conserved",kup,BX927147,cg0187,160471.0,161364.0,+
cg0188,"hypothetical protein, conserved",0,BX927147,cg0188,161361.0,162269.0,-
cg0191,"putative translation initiation inhibitor, YjgF-family",0,BX927147,cg0191,162440.0,162871.0,+
cg0192,"hypothetical protein, conserved",0,BX927147,cg0192,162984.0,163607.0,+
cg0193,endopeptidase O  (EC:3.4.24.-),pepO,BX927147,cg0193,163687.0,165615.0,-
cg0194,putative secreted protein,0,BX927147,cg0194,165718.0,166461.0,+
cg0195,putative membrane protein,0,BX927147,cg0195,166458.0,167423.0,+
cg0196,"repressor of myo-inositol utilization genes, GntR-family, essential on gluconeogenetic substrates",iolR,BX927147,cg0196,167835.0,168596.0,-
cg0197,"carbohydrate kinase, myo-inositol catabolism",iolC,BX927147,cg0197,169039.0,169995.0,+
cg0198,"putative protein, conserved, probably involved in myo-inositol metabolism",0,BX927147,cg0198,169997.0,170920.0,+
cg0199,"aldehyde dehydrogenase, Methylmalonate-semialdehyde dehydrogenase (EC:1.2.1.27), myo-Inositol catabolism",iolA,BX927147,cg0199,170934.0,172448.0,+
cg0201,enzyme involved in inositol metabolism,iolB,BX927147,cg0201,172469.0,173359.0,+
cg0202,"putative acetolactate synthase, large subunit (EC:2.2.1.6)",iolD,BX927147,cg0202,173366.0,175279.0,+
cg0203,2-Keto-myo-inositol dehydratase (EC:4.2.1.44),iolE,BX927147,cg0203,175320.0,176276.0,+
cg0204,"putative oxidoreductase, myo-inositol 2-dehydrogenase (EC:1.1.1.18)",iolG,BX927147,cg0204,176309.0,177322.0,+
cg0205,myo-inositol catabolism protein,iolH,BX927147,cg0205,177329.0,178207.0,+
cg0206,"putative myo-inositol permease, MFS-type",iolP,BX927147,cg0206,178286.0,179662.0,+
cg0207,"myo-Inositol dehydrogenase, putative oxidoreductase",oxiA,BX927147,cg0207,179690.0,180715.0,+
cg0208,hypothetical protein,0,BX927147,cg0208,180843.0,181301.0,+
cg0209,hypothetical protein,0,BX927147,cg0209,181304.0,181651.0,+
cg0210,"putative transcriptional regulator, LacI-family ",0,BX927147,cg0210,181685.0,182680.0,-
cg0211,putative oxidoreductase dehydrogenase,oxiB,BX927147,cg0211,182820.0,184055.0,+
cg0212,"putative phosphate isomerase/epimerase, conserved",0,BX927147,cg0212,184078.0,185091.0,+
cg0214,hypothetical protein,0,BX927147,cg0214,185215.0,185646.0,+
cg0215,"cold-shock protein A, contains signal peptide for secretion",cspA,BX927147,cg0215,186509.0,186712.0,+
cg0216,putative membrane protein,0,BX927147,cg0216,186770.0,187306.0,+
cg0217,"putative transcriptional regulator, ArsR-family",0,BX927147,cg0217,187303.0,187611.0,+
cg0218,"putative O-methyl transferase N-terminal fragment, putative pseudogene",0,BX927147,cg0218,187688.0,188104.0,+
cg0219,"putative O-methyl transferase C-terminal fragment, putative pseudogene",0,BX927147,cg0219,188123.0,188260.0,+
cg0220,"putative acetyltransferase, GNAT-family",0,BX927147,cg0220,188298.0,188726.0,-
cg0221,"putative transcriptional regulator,  LacI-family",0,BX927147,cg0221,188745.0,189737.0,-
cg0222,putative membrane protein,0,BX927147,cg0222,189921.0,190325.0,+
cg0223,myo-Inositol transporter 1,iolT1,BX927147,cg0223,190701.0,192176.0,-
cg0226,transposase,tnp2f,BX927147,cg0226,192954.0,194468.0,+
cg0228,"putative sensor histidine kinase fragment of two-component system, putative pseudogene",hkm,BX927147,cg0228,194602.0,195039.0,-
cg0229,"glutamine 2-oxoglutarate aminotransferase NADPH large subunit, also glutamate synthase (EC:1.4.1.13)",gltB,BX927147,cg0229,195241.0,199773.0,+
cg0230,"glutamine 2-oxoglutarate aminotransferase NADPH small subunit, also glutamate synthase (EC:1.4.1.13)",gltD,BX927147,cg0230,199773.0,201293.0,+
cg0231,putative membrane protein,0,BX927147,cg0231,201339.0,201581.0,-
cg0232,putative secreted protein,0,BX927147,cg0232,201618.0,201776.0,-
cg0233,"hypothetical protein, conserved",0,BX927147,cg0233,201758.0,203245.0,-
cg0235,arabinosyltransferase,emb (embC),BX927147,cg0235,203539.0,206931.0,-
cg0236,arabinofuranosyltransferase,aftA,BX927147,cg0236,207005.0,209038.0,-
cg0237,"putative short chain dehydrogenase, or oxidoreductase",0,BX927147,cg0237,209208.0,209969.0,-
cg0238,"putative L-gulonolactone oxidase, FAD/FMN-containing dehydrogenase putativley involved in ascorbate and aldarate metabolism",0,BX927147,cg0238,209990.0,211456.0,-
cg0239,hypothetical protein,0,BX927147,cg0239,211533.0,211760.0,-
cg0240,putative membrane protein,0,BX927147,cg0240,211796.0,212287.0,+
cg0241,"hypothetical protein, conserved",0,BX927147,cg0241,212284.0,212739.0,+
cg0242,hypothetical protein,0,BX927147,cg0242,212765.0,213661.0,+
cg0243,putative membrane protein,0,BX927147,cg0243,213677.0,214111.0,+
cg0244,putative membrane protein,0,BX927147,cg0244,214122.0,214526.0,+
cg0245,"hypothetical protein, conserved",0,BX927147,cg0245,214528.0,215163.0,+
cg0246,putative glycosyl transferase,0,BX927147,cg0246,215160.0,216092.0,-
cg0247,"hypothetical protein, conserved",0,BX927147,cg0247,216114.0,216713.0,-
cg0248,"putative ABC-type polysaccharide/polyol phosphate export sytem, ATPase component",0,BX927147,cg0248,217139.0,217930.0,-
cg0249,"putative polysaccharide/polyol phosphate export systems, permease component",0,BX927147,cg0249,217941.0,218837.0,-
cg0250,putative aminotransferase class V,0,BX927147,cg0250,218980.0,220155.0,+
cg0251,putative quinone oxidoreductase (EC:1.6.5.5),0,BX927147,cg0251,220152.0,221132.0,-
cg0252,putative membrane protein,0,BX927147,cg0252,221129.0,221656.0,-
cg0253,putative flavodoxin reductase/2Fe-2S ferredoxin,0,BX927147,cg0253,221930.0,222211.0,+
cg0254,putative amino acid carrier protein sodium/alanine symporter,0,BX927147,cg0254,222208.0,223695.0,-
cg0255,hypothetical protein,0,BX927147,cg0255,223790.0,224161.0,-
cg0256,"putative protein, conserved",0,BX927147,cg0256,224355.0,225248.0,+
cg0257,"molybdopterin cofactor synthase, subunit 3",moeB,BX927147,cg0257,225240.0,226313.0,-
cg0258,"molybdopterin cofactor synthase, large subunit 2",moaE,BX927147,cg0258,226310.0,226768.0,-
cg0259,"molybdopterin cofactor biosynthesis protein, Mog-family",moaB,BX927147,cg0259,226758.0,227231.0,-
cg0260,molybdopterin cofactor biosynthesis protein C,moaC,BX927147,cg0260,227216.0,227686.0,-
cg0261,"molybdopterin cofactor synthesis protein A1, MoeA-family",moeA1,BX927147,cg0261,227701.0,228888.0,-
cg0262,"putative molybdenum ABC-type transporter, permease component",modB,BX927147,cg0262,228889.0,229728.0,-
cg0263,"putative molybdenum ABC-type transporter, molybdate-binding secreted protein",modA,BX927147,cg0263,229709.0,230515.0,-
cg0264,"putative molybdopterin converting factor, small subunit",0,BX927147,cg0264,230675.0,230932.0,+
cg0265,"putative ABC transporter, ATP-binding protein",0,BX927147,cg0265,230929.0,231843.0,-
cg0266,putative membrane protein,0,BX927147,cg0266,231846.0,232268.0,-
cg0267,"aminotransferase, uses aromatic amino acids, AT class I (EC:2.6.1.9), deletion causes auxotrophy for Leu/Ile/Phe ",aroT (pat),BX927147,cg0267,232258.0,233283.0,-
cg0269,"hypothetical protein, conserved",0,BX927147,cg0269,233914.0,234822.0,+
cg0270,hypothetical protein,0,BX927147,cg0270,234908.0,235192.0,-
cg0272,"putative transcriptional regulator, LysR-family",0,BX927147,cg0272,235449.0,236213.0,-
cg0273,"putative alcohol dehydrogenase, type III (EC:1.1.1.1)",0,BX927147,cg0273,236327.0,237346.0,+
cg0274,"putative oxidoreductase, maybe involved in oxidative stress response",maoA,BX927147,cg0274,237346.0,238149.0,+
cg0275,"Mg2+ transporter, MgtE-family",mgtE2,BX927147,cg0275,238219.0,239529.0,+
cg0277,"dicarboxylate uptake system for succinate, fumarate or L-malate, DASS-family",dccT (dcsT),BX927147,cg0277,239936.0,241519.0,+
cg0279,"prephenate dehydrogenase (EC:1.3.1.12), essential",tyrA,BX927147,cg0279,241881.0,242903.0,-
cg0280,"hypothetical protein, conserved",0,BX927147,cg0280,242941.0,243435.0,+
cg0281,"putative cytosine deaminase, tRNA-specific adenosine deaminase (EC:3.5.4.-)",0,BX927147,cg0281,243435.0,243914.0,+
cg0282,"putative protein, CsbD-family, probably involved in stress response",cybD,BX927147,cg0282,244016.0,244219.0,+
cg0283,putative membrane protein,0,BX927147,cg0283,244569.0,244820.0,+
cg0284,Associated with mycolic acid metabolism,0,BX927147,cg0284,244903.0,247308.0,+
cg0285,"putative tRNA-guanine transglycosylase, queuine tRNA-ribosyltransferase (EC:2.4.2.29)",tgt,BX927147,cg0285,247320.0,248576.0,+
cg0286,"putative membrane protein, conserved ",0,BX927147,cg0286,248555.0,249295.0,-
cg0287,"putative protein, similar to malic enzyme",0,BX927147,cg0287,249429.0,250511.0,+
cg0288,"putative ABC transporter, transmembrane and ATPase subunit",0,BX927147,cg0288,250504.0,251943.0,+
cg0289,glutamyl-tRNA synthetase (EC:6.1.1.17),gltX,BX927147,cg0289,251953.0,252834.0,+
cg0291,"putative 3,4-dioxygenase ? subunit",0,BX927147,cg0291,252828.0,253820.0,-
cg0292,transposase,tnp16a,BX927147,cg0292,254327.0,255487.0,-
cg0293,hypothetical protein,0,BX927147,cg0293,255490.0,255795.0,-
cg0294,"aspartate aminotransferase, AT class I (EC:2.6.1.1)",aspT (aspB),BX927147,cg0294,256618.0,257898.0,+
cg0295,"hypothetical protein, conserved",0,BX927147,cg0295,257901.0,258533.0,+
cg0296,"DNA polymerase III, subunits ? and ? (tau) (EC:2.7.7.7)",dnaZX,BX927147,cg0296,258552.0,260879.0,+
cg0297,"putative BCR protein, YbaB-family COG0718, DUF149-family",0,BX927147,cg0297,260988.0,261299.0,+
cg0298,recombination protein,recR,BX927147,cg0298,261403.0,262059.0,+
cg0299,cobyric acid synthase,cobQ,BX927147,cg0299,262544.0,263296.0,-
cg0300,putative tripeptide synthase involved in murein formation,0,BX927147,cg0300,263296.0,264567.0,-
cg0302,"putative DNA polymerase III subunit ? or related 3-5 exonuclease, maybe essential",0,BX927147,cg0302,264597.0,265679.0,-
cg0303,2-isopropylmalate synthase (EC:2.3.3.13),leuA,BX927147,cg0303,266152.0,268002.0,-
cg0304,putative membrane protein,0,BX927147,cg0304,268256.0,269068.0,-
cg0305,,,BX927147,cg0305,,,-
cg0306,"aspartate kinase (EC:2.7.2.4), deletion causes lysine-auxotrophy",lysC,BX927147,cg0306,269371.0,270636.0,+
cg0307,"aspartate-semialdehyde dehydrogenase (EC:1.2.1.11), deletion causes lysine-auxotrophy ",asd,BX927147,cg0307,270660.0,271694.0,+
cg0308,putative membrane protein,0,BX927147,cg0308,271761.0,273197.0,+
cg0309,"RNA polymerase ? factor, ECF-family, control of branched quinol oxidation pathway",sigC,BX927147,cg0309,273539.0,274120.0,-
cg0310,catalase (EC:1.11.1.6),katA,BX927147,cg0310,274324.0,275874.0,+
cg0311,putative secreted protein,0,BX927147,cg0311,275954.0,276247.0,-
cg0313,"transcriptional activator, AsnC-family, controls the export system for l-methionine and branched-chain amino acids (leucine, isoleucine, valine)",lrp,BX927147,cg0313,276299.0,276754.0,-
cg0314,"branched chain amino acid exporter Ile, Leu, Val, Met, large subunit",brnF,BX927147,cg0314,276829.0,277584.0,+
cg0315,"branched chain amino acid exporter Ile, Leu, Val, Met, small subunit",brnE,BX927147,cg0315,277581.0,277907.0,+
cg0316,putative secreted protein,0,BX927147,cg0316,277984.0,278277.0,-
cg0317,"arsenate/arsenite transcriptional regulator, ArsR-family, function predicted, experimentally proven?",arsR2,BX927147,cg0317,278385.0,278732.0,-
cg0318,"arsenite permease, arsenical resistance-3 (ACR3)-family",arsC1 (arsB2),BX927147,cg0318,278814.0,279896.0,+
cg0319,"arsenate reductase, arsenical pump modifier (EC:1.20.4.1)",arsC2 (arsX),BX927147,cg0319,279893.0,280282.0,+
cg0321,subunit 6 of Na+K+/H+ antiporter Mrp1,mrpG1 (mnhG),BX927147,cg0321,280346.0,280666.0,-
cg0322,subunit 5 of Na+K+/H+ antiporter Mrp1,mrpF1 (mnhF),BX927147,cg0322,280667.0,280939.0,-
cg0323,subunit 4 of Na+K+/H+ antiporter Mrp1,mrpE1 (mnhE),BX927147,cg0323,280946.0,281401.0,-
