locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon
cg0042,cg0042,BX927147.1,,29114.0,29965.0,-,ABC TRANSPORTER PROTEIN%2C INTEGRAL MEMBRANE SUBUNIT,Inorganic ion transport and metabolism,,Op21
cg0043,cg0043,BX927147.1,,29995.0,30654.0,+,ABC TRANSPORT PROTEIN%2C ATP-BINDING SUBUNIT,Inorganic ion transport and metabolism,,Op22
cg0044,cg0044,BX927147.1,,30697.0,31680.0,+,PROBABLE SOLUTE-BINDING LIPOPROTEIN%2C signal peptide,Carbohydrate transport and metabolism,,Op23
cg0045,cg0045,BX927147.1,,31677.0,32702.0,+,PROBABLE ABC TRANSPORT PROTEIN%2C MEMBRANE COMPONENT,Carbohydrate transport and metabolism,,Op23
cg0046,cg0046,BX927147.1,,32699.0,33460.0,+,PROBABLE ABC TRANSPORT PROTEIN%2C ATP-BINDING COMPON,Carbohydrate transport and metabolism,,Op23
cg0047,cg0047,BX927147.1,,33462.0,34274.0,-,conserved hypothetical protein,No COG annotation,,Op24
cg0048,ppiA,BX927147.1,,34378.0,34902.0,+,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE B,"Post-translational modification, protein turnover, and chaperones",,Op25
cg0049,cg0049,BX927147.1,,34982.0,35671.0,+,PUTATIVE TRANSMEMBRANE PROTEIN%2C RHOMBOID FAMILY,Function unknown,,Op26
cg0051,cg0051,BX927147.1,,36244.0,37242.0,-,PROBABLE TRANSCRIPTION REGULATOR PROTEIN%2C AraC typ,Transcription,,Op27
cg0052,cg0052,BX927147.1,,37182.0,38201.0,+,PUTATIVE IRON-SIDEROPHORE UPTAKE SYSTEM TRANSMEMBR,Inorganic ion transport and metabolism,,Op28
cg0053,cg0053,BX927147.1,,38202.0,38981.0,+,PUTATIVE IRON-SIDEROPHORE UPTAKE SYSTEM ATP-BINDIN,Coenzyme transport and metabolism,,Op28
cg0054,cg0054,BX927147.1,,38978.0,39802.0,+,IRON-CHELATOR UTILIZATION PROTEIN,Inorganic ion transport and metabolism,,Op28
cg0055,cg0055,BX927147.1,,40186.0,40458.0,-,putative membrane protein,"Cell cycle control, cell division, chromosome partitioning",Q8NU99,Op29
cg0057,pknB,BX927147.1,,40573.0,42513.0,-,EUKARYOTIC-TYPE SERINE/THREONINE KINASE,Transcription,Q8NU98,Op30
cg0059,pknA,BX927147.1,,42510.0,43919.0,-,SERINE/THREONINE PROTEIN KINASE,Transcription,Q8NU97,Op30
cg0060,pbpA,BX927147.1,,43923.0,45347.0,-,D-ALANYL-D-ALANINE CARBOXYPEPTIDASE,Cell wall/membrane/envelope biogenesis,,Op30
cg0061,rodA,BX927147.1,,45344.0,46669.0,-,PUTATIVE FTSW/RODA/SPOVE FAMILY CELL CYCLE PROTEIN,"Cell cycle control, cell division, chromosome partitioning",,Op30
cg0062,ppp,BX927147.1,,46666.0,48021.0,-,PROTEIN PHOSPHATASE,Signal transduction mechanisms,,Op30
cg0063,cg0063,BX927147.1,,48021.0,48485.0,-,Secreted PROTEIN,Signal transduction mechanisms,,Op30
cg0064,cg0064,BX927147.1,,48502.0,49398.0,-,conserved hypothetical protein,Signal transduction mechanisms,,Op30
cg0065,cg0065,BX927147.1,,49894.0,50616.0,-,Haem peroxidase superfamily,No COG annotation,,Op31
cg0066,cg0066,BX927147.1,,50963.0,51436.0,-,hypothetical protein,No COG annotation,,Op32
cg0067,gabD3,BX927147.1,,51623.0,53095.0,-,SUCCINATE-SEMIALDEHYDE DEHYDROGENASE (NADP+),Energy production and conversion,,Op33
cg0070,cg0070,BX927147.1,,53055.0,54011.0,+,FAD MONOOXYGENASE%2C PHEA/TFDB FAMILY,Energy production and conversion,,Op34
cg0071,cg0071,BX927147.1,,54179.0,55549.0,+,Metallo-beta-lactamase superfamily,Inorganic ion transport and metabolism,,Op35
cg0072,cg0072,BX927147.1,,55626.0,56372.0,-,conserved hypothetical membrane protein,Function unknown,,Op36
cg0073,cg0073,BX927147.1,,56383.0,56676.0,-,sulfurtransferase,Inorganic ion transport and metabolism,,Op36
cg0074,cg0074,BX927147.1,,56677.0,57270.0,-,sulfurtransferase,Inorganic ion transport and metabolism,,Op36
cg0075,cg0075,BX927147.1,,57397.0,57654.0,+,conserved hypothetical protein,Function unknown,,Op37
cg0076,cg0076,BX927147.1,,58087.0,58944.0,+,hypothetical protein,No COG annotation,,Op38
cg0077,cg0077,BX927147.1,,59091.0,59933.0,+,Conserved HYPOTHETICAL PROTEIN,Inorganic ion transport and metabolism,,Op39
cg0078,cg0078,BX927147.1,,59952.0,60665.0,+,putative membrane protein,Function unknown,,Op39
cg0079,cg0079,BX927147.1,,60699.0,62324.0,+,putative secreted protein,Cell wall/membrane/envelope biogenesis,,Op39
cg0080,cg0080,BX927147.1,,62387.0,63508.0,-,CorA-like Mg2+ transporter protein,Inorganic ion transport and metabolism,,Op40
cg0081,cg0081,BX927147.1,,63591.0,64040.0,-,putative tautomerase,Function unknown,,Op41
cg0082,cg0082,BX927147.1,,64163.0,65461.0,+,Voltage gated chloride channel,Inorganic ion transport and metabolism,,Op42
cg0083,cg0083,BX927147.1,,65505.0,66197.0,-,mononucleotide transporter,Coenzyme transport and metabolism,,Op43
cg0085,phoH1,BX927147.1,,66699.0,67976.0,+,ATPase related to phosphate starvation-inducible protein,Signal transduction mechanisms,,Op44
cg0087,cg0087,BX927147.1,,68249.0,68635.0,-,probable transmembrane transport protein,No COG annotation,,Op45
cg0088,citP,BX927147.1,,68718.0,70298.0,-,Citrate transporter,Energy production and conversion,,Op46
cg0089,citA,BX927147.1,,70507.0,72162.0,+,SENSORY HISTIDINE KINASE IN TWO-COMPONENT RETGULAT,Signal transduction mechanisms,,Op47
cg0090,citB,BX927147.1,,72162.0,72818.0,+,TWO-COMPONENT RESPONSE REGULATOR CitB,Transcription,,Op47
cg0091,cg0091,BX927147.1,,72815.0,73729.0,-,D-isomer specific 2-hydroxyacid dehydrogenase,Amino acid transport and metabolism,,Op48
cg0092,cg0092,BX927147.1,,73845.0,74276.0,+,PUTATIVE MEMBRANE PROTEIN,No COG annotation,,Op49
cg0095,bioB,BX927147.1,,74491.0,75495.0,+,BIOTIN SYNTHASE,Coenzyme transport and metabolism,P46396,Op50
cg0096,cg0096,BX927147.1,,75507.0,75746.0,+,conserved hypothetical protein,No COG annotation,,Op50
cg0097,cg0097,BX927147.1,,75746.0,76039.0,+,conserved hypothetical protein,Function unknown,,Op50
cg0103,cg0103,BX927147.1,,82118.0,83569.0,-,Permease of the major facilitator superfamily,Amino acid transport and metabolism,,Op51
cg0104,codA,BX927147.1,,83689.0,84960.0,-,CREATININE DEAMINASE,Nucleotide transport and metabolism,,Op52
cg0105,cg0105,BX927147.1,,85096.0,85404.0,-,hypothetical protein,No COG annotation,,Op53
cg0107,cg0107,BX927147.1,,85661.0,86221.0,-,secreted protein,No COG annotation,,Op54
cg0108,cg0108,BX927147.1,,86412.0,87245.0,+,PUTATIVE SIR2-LIKE REGULATORY PROTEIN,Transcription,,Op55
cg0109,cg0109,BX927147.1,,87559.0,88533.0,-,TRIACYLGLYCEROL LIPASE PRECURSOR,Function unknown,,Op56
cg0110,cg0110,BX927147.1,,88543.0,89445.0,-,TRIACYLGLYCEROL LIPASE PRECURSOR,Function unknown,,Op56
cg0111,cg0111,BX927147.1,,89598.0,90449.0,+,hypothetical protein,"Translation, ribosomal structure and biogenesis",,Op57
cg0112,ureR,BX927147.1,,90459.0,90974.0,-,Bacterial regulatory protein%2C MarR family,Transcription,,Op58
cg0113,ureA,BX927147.1,,91175.0,91477.0,+,PROBABLE UREASE GAMMA SUBUNIT,Amino acid transport and metabolism,Q9RHM6,Op59
cg0114,ureB,BX927147.1,,91504.0,91992.0,+,UREASE BETA SUBUNIT,Amino acid transport and metabolism,Q79VJ4,Op59
cg0115,ureC,BX927147.1,,91993.0,93705.0,+,UREASE ALPHA SUBUNIT,Amino acid transport and metabolism,Q79VJ3,Op59
cg0116,ureE,BX927147.1,,93730.0,94203.0,+,UREASE ACCESSORY PROTEIN,"Translation, ribosomal structure and biogenesis",Q9RHM3,Op59
cg0117,ureF,BX927147.1,,94203.0,94883.0,+,UREASE ACCESSORY PROTEIN,"Post-translational modification, protein turnover, and chaperones",Q79VJ2,Op59
cg0118,ureG,BX927147.1,,94900.0,95517.0,+,UREASE ACCESSORY PROTEIN,Transcription,Q79VJ1,Op59
cg0119,ureD,BX927147.1,,95518.0,96369.0,+,UREASE ACCESSORY PROTEIN,"Post-translational modification, protein turnover, and chaperones",Q79VJ0,Op59
cg0120,cg0120,BX927147.1,,96366.0,97145.0,-,Esterase/lipase/thioesterase family protein,Lipid transport and metabolism,,Op60
cg0121,cg0121,BX927147.1,,97317.0,98471.0,-,Permease of the major facilitator superfamily,Amino acid transport and metabolism,,Op61
cg0122,cg0122,BX927147.1,,98806.0,101583.0,-,putative glycerol 3-phosphate dehydrogenase,Transcription,,Op62
cg0123,cg0123,BX927147.1,,101610.0,103436.0,-,PUTATIVE HEAT SHOCK PROTEIN (HSP90-FAMILY),"Post-translational modification, protein turnover, and chaperones",,Op62
cg0124,amn,BX927147.1,,103480.0,104913.0,+,AMP NUCLEOSIDASE,Nucleotide transport and metabolism,,Op63
cg0126,cg0126,BX927147.1,,105171.0,105752.0,-,hypothetical protein,Amino acid transport and metabolism,,Op64
cg0127,cg0127,BX927147.1,,105839.0,106393.0,-,Thiamine pyrophosphate dependent enzyme,Amino acid transport and metabolism,,Op65
cg0128,cg0128,BX927147.1,,106628.0,107179.0,-,secreted protein%2C Signal peptide,Function unknown,,Op66
cg0129,putA,BX927147.1,,107436.0,110894.0,+,PROLINE DEHYDROGENASE/DELTA-1-PYRROLINE-5-CARBOXYLATE DEHYDROGENASE,Energy production and conversion,,Op67
cg0131,cg0131,BX927147.1,,111375.0,112322.0,+,PUTATIVE OXIDOREDUCTASE,Energy production and conversion,,Op68
cg0133,cg0133,BX927147.1,,112564.0,114087.0,+,p-aminobenzoyl-glutamate transporter,Coenzyme transport and metabolism,,Op69
cg0134,cg0134,BX927147.1,,114094.0,115482.0,+,HYDROLASE%2C AMA/HIPO/HYUC FAMILY,Function unknown,,Op69
cg0135,cg0135,BX927147.1,,115579.0,115947.0,+,PUTATIVE INNER MEMBRANE PROTEIN,Function unknown,,Op70
cg0136,cg0136,BX927147.1,,115950.0,116267.0,+,putative membrane protein,Function unknown,,Op70
cg0138,cg0138,BX927147.1,,116546.0,118501.0,-,ATP/GTP-binding protein,No COG annotation,,Op71
cg0139,cg0139,BX927147.1,,118808.0,119590.0,-,Bacterial regulatory proteins%2C deoR family,Transcription,,Op72
cg0141,cg0141,BX927147.1,,119971.0,120414.0,+,Glyoxalase/Bleomycin resistance protein/Dioxygenas,Amino acid transport and metabolism,,Op73
cg0142,sixA,BX927147.1,,120411.0,120923.0,-,PHOSPHOHISTIDINE PHOSPHATASE,Signal transduction mechanisms,,Op74
cg0143,mtlD,BX927147.1,,120949.0,122460.0,-,MANNITOL 2-DEHYDROGENASE,Carbohydrate transport and metabolism,,Op74
cg0144,rbtT,BX927147.1,,122505.0,123842.0,-,PUTATIVE RIBITOL TRANSPORTER,Carbohydrate transport and metabolism,,Op75
cg0146,cg0146,BX927147.1,,124122.0,124970.0,+,Bacterial regulatory proteins%2C deoR family,Transcription,,Op76
cg0147,xylB,BX927147.1,,124972.0,126354.0,+,XYLULOSE KINASE,Carbohydrate transport and metabolism,,Op76
cg0148,panC,BX927147.1,,126351.0,127190.0,-,PANTOATE--BETA-ALANINE LIGASE PROTEIN,Coenzyme transport and metabolism,Q9X713,Op77
cg0149,panB,BX927147.1,,127190.0,128005.0,-,3-METHYL-2-OXOBUTANOATE HYDROXYMETHYLTRANSFERASE,Coenzyme transport and metabolism,Q9X712,Op77
cg0150,cg0150,BX927147.1,,128097.0,129050.0,-,Bacterial regulatory protein,Transcription,,Op78
cg0151,mag,BX927147.1,,129487.0,130056.0,-,PUTATIVE 3-METHYLPURINE DNA GLYCOSYLASE,"Replication, recombination and repair",Q8NU33,Op79
cg0152,cg0152,BX927147.1,,130146.0,130802.0,+,hypothetical protein,Function unknown,,Op80
cg0153,hde,BX927147.1,,130813.0,131739.0,-,PROBABLE ESTERASE/LIPASE PROTEIN,Lipid transport and metabolism,,Op81
cg0154,cg0154,BX927147.1,,131823.0,132428.0,+,haloacid dehalogenase-like hydrolase,Function unknown,,Op82
cg0155,cg0155,BX927147.1,,132425.0,132985.0,+,PUTATIVE ACETYLTRANSFERASE,Function unknown,,Op82
cg0156,cg0156,BX927147.1,,132969.0,134114.0,-,Bacterial regulatory proteins%2C Crp family,Transcription,,Op83
cg0158,cg0158,BX927147.1,,134205.0,135479.0,-,PUTATIVE MEMBRANE TRANSPORT PROTEIN,Amino acid transport and metabolism,,Op84
cg0159,cg0159,BX927147.1,,135516.0,136034.0,-,hypothetical protein predicted by Glimmer/Critica,No COG annotation,,Op84
cg0160,cg0160,BX927147.1,,136120.0,136566.0,-,hypothetical protein,No COG annotation,,Op84
cg0161,cg0161,BX927147.1,,136805.0,138748.0,+,putative secreted or membrane protein,No COG annotation,,Op85
cg0162,cg0162,BX927147.1,,138792.0,140333.0,+,MEMBRANE SPANNING PROTEIN,No COG annotation,,Op86
cg0163,cg0163,BX927147.1,,140330.0,141793.0,+,N-ACETYLGLUCOSAMINYLTRANSFERASE,Cell wall/membrane/envelope biogenesis,,Op86
cg0165,cg0165,BX927147.1,,141797.0,143530.0,+,ABC-2 type transporter,Cell wall/membrane/envelope biogenesis,,Op86
cg0166,cg0166,BX927147.1,,143576.0,144643.0,+,REPEAT CONTAINING PROTEIN,Function unknown,,Op87
cg0167,cg0167,BX927147.1,,144726.0,145484.0,+,permease,Function unknown,,Op88
cg0168,cg0168,BX927147.1,,145516.0,146340.0,-,permease,Function unknown,,Op89
cg0170,cg0170,BX927147.1,,146523.0,147242.0,+,PROBABLE TRANSMEMBRANE PROTEIN,Function unknown,,Op90
cg0171,cg0171,BX927147.1,,147239.0,147574.0,+,secreted protein,"Post-translational modification, protein turnover, and chaperones",,Op90
cg0172,panD,BX927147.1,,147571.0,147981.0,-,ASPARTATE 1-DECARBOXYLASE,Coenzyme transport and metabolism,Q9X4N0,Op91
cg0173,cg0173,BX927147.1,,148123.0,149784.0,+,CONSERVED HYPOTHETICAL PROTEIN,Function unknown,,Op92
cg0174,cg0174,BX927147.1,,149792.0,150931.0,-,PUTATIVE TRANSPORT PROTEIN,Function unknown,,Op93
cg0175,cg0175,BX927147.1,,150964.0,151455.0,-,secreted protein%2C Signal peptide,No COG annotation,,Op93
cg0176,cg0176,BX927147.1,,151591.0,152373.0,+,permease,Function unknown,,Op94
cg0177,cg0177,BX927147.1,,152441.0,152818.0,+,hypothetical protein,No COG annotation,,Op95
cg0178,hrpB,BX927147.1,,153224.0,155653.0,-,PROBABLE ATP-DEPENDENT RNA HELICASE PROTEIN,"Replication, recombination and repair",,Op96
cg0179,cg0179,BX927147.1,,155854.0,156171.0,+,membrane protein,No COG annotation,,Op97
cg0180,maa,BX927147.1,,156145.0,156831.0,-,MALTOSE O-ACETYLTRANSFERASE,Function unknown,,Op98
cg0181,cg0181,BX927147.1,,156849.0,157541.0,+,PUTATIVE DNA REPAIR PROTEIN,"Replication, recombination and repair",,Op99
cg0182,tagA2,BX927147.1,,157585.0,158142.0,+,PROBABLE DNA-3-METHYLADENINE GLYCOSYLASE I PROTEIN,"Replication, recombination and repair",,Op100
cg0183,cg0183,BX927147.1,,158155.0,158835.0,+,PUTATIVE LYSE TYPE TRANSLOCATOR,Amino acid transport and metabolism,,Op100
cg0184,cg0184,BX927147.1,,158870.0,159163.0,+,CONSERVED HYPOTHETICAL PROTEIN,Function unknown,,Op100
cg0185,cg0185,BX927147.1,,159163.0,160017.0,+,Glyoxalase/Bleomycin resistance protein/Dioxygenas,Function unknown,,Op100
cg0186,cg0186,BX927147.1,,160030.0,160374.0,+,Methylated-DNA--protein-cysteine methyltransferase,"Replication, recombination and repair",,Op100
cg0187,cg0187,BX927147.1,,160549.0,161364.0,+,conserved hypothetical protein,Cell wall/membrane/envelope biogenesis,,Op101
cg0188,cg0188,BX927147.1,,161361.0,162275.0,-,conserved hypothetical protein,Lipid transport and metabolism,,Op102
cg0191,cg0191,BX927147.1,,162440.0,162871.0,+,translation initiation inhibitor,"Translation, ribosomal structure and biogenesis",,Op103
cg0192,cg0192,BX927147.1,,162984.0,163607.0,+,conserved hypothetical protein,Carbohydrate transport and metabolism,,Op104
cg0193,pepO,BX927147.1,,163687.0,165615.0,-,ENDOPEPTIDASE O,"Post-translational modification, protein turnover, and chaperones",,Op105
cg0194,cg0194,BX927147.1,,165718.0,166461.0,+,hypothetical secreted protein,No COG annotation,,Op106
cg0195,cg0195,BX927147.1,,166458.0,167423.0,+,membrane protein,Function unknown,,Op106
cg0196,cg0196,BX927147.1,,167835.0,168596.0,-,Bacterial regulatory proteins%2C gntR family,Transcription,,Op107
cg0197,iolC,BX927147.1,,168976.0,169995.0,+,sugar kinase%2C ribokinase family,Carbohydrate transport and metabolism,,Op108
cg0198,cg0198,BX927147.1,,169997.0,170920.0,+,conserved hypothetical protein,Carbohydrate transport and metabolism,,Op108
cg0199,msmA,BX927147.1,,170934.0,172448.0,+,PROBABLE ALDEHYDE DEHYDROGENASE,Energy production and conversion,,Op108
cg0201,iolB,BX927147.1,,172469.0,173359.0,+,enzyme involved in inositol metabolism,Carbohydrate transport and metabolism,,Op108
cg0202,iolD,BX927147.1,,173366.0,175279.0,+,PUTATIVE ACETOLACTATE SYNTHASE PROTEIN,Energy production and conversion,,Op108
cg0203,iolE,BX927147.1,,175320.0,176276.0,+,phosphate isomerases/epimerase,"Replication, recombination and repair",,Op108
cg0204,iolG,BX927147.1,,176309.0,177322.0,+,PUTATIVE OXIDOREDUCTASE MYO-INOSITOL 2-DEHYDROGENA,Energy production and conversion,Q8NTY7,Op108
cg0205,iolH,BX927147.1,,177329.0,178207.0,+,MYO-INOSITOL CATABOLISM PROTEIN,Carbohydrate transport and metabolism,,Op108
cg0206,cg0206,BX927147.1,,178286.0,179662.0,+,PROBABLE TRANSPORTER,Amino acid transport and metabolism,,Op109
cg0207,cg0207,BX927147.1,,179690.0,180715.0,+,HYPOTHETICAL OXIDOREDUCTASE,Function unknown,,Op109
cg0208,cg0208,BX927147.1,,180843.0,181301.0,+,hypothetical protein,No COG annotation,,Op110
cg0209,cg0209,BX927147.1,,181304.0,181651.0,+,hypothetical protein,No COG annotation,,Op110
cg0210,cg0210,BX927147.1,,181685.0,182680.0,-,LACI-FAMILY TRANSCRIPTIONAL REGULATORY PROTEIN,Transcription,,Op111
cg0211,cg0211,BX927147.1,,182820.0,184055.0,+,PUTATIVE OXIDOREDUCTASE,Function unknown,,Op112
cg0212,cg0212,BX927147.1,,184078.0,185091.0,+,phosphate isomerases/epimerase,Carbohydrate transport and metabolism,,Op112
cg0214,cg0214,BX927147.1,,185215.0,185646.0,+,hypothetical protein,No COG annotation,,Op113
cg0215,cspA,BX927147.1,,186509.0,186712.0,+,COLD-SHOCK PROTEIN CSPA,Transcription,,Op114
cg0216,cg0216,BX927147.1,,186770.0,187306.0,+,hypothetical membrane protein,No COG annotation,,Op115
cg0217,cg0217,BX927147.1,,187303.0,187611.0,+,Bacterial regulatory protein%2C arsR family,Transcription,,Op116
cg0218,cg0218,BX927147.1,,187688.0,188104.0,+,O-METHYL TRANSFERASE (N-terminal FRAGMENT),"Replication, recombination and repair",,Op117
cg0219,cg0219,BX927147.1,,188123.0,188260.0,+,O-METHYL TRANSFERASE (C-terminal FRAGMENT),Function unknown,,Op118
cg0220,cg0220,BX927147.1,,188298.0,188726.0,-,Acetyltransferase%2C GNAT family,Transcription,,Op119
cg0221,cg0221,BX927147.1,,188745.0,189848.0,-,PROBABLE LACI-FAMILY TRANSCRIPTIONAL REGULATOR,Transcription,,Op119
cg0222,cg0222,BX927147.1,,189921.0,190325.0,+,membrane protein,No COG annotation,,Op120
cg0223,cg0223,BX927147.1,,190701.0,192176.0,-,METABOLITE TRANSPORT PROTEIN,Inorganic ion transport and metabolism,,Op121
cg0226,tnp2f(ISCg2f),BX927147.1,,192954.0,194468.0,+,TRANSPOSASE,"Replication, recombination and repair",,Op122
cg0228,cg0228,BX927147.1,,194602.0,195039.0,-,SENSOR HISTIDINE KINASE OF TWO-COMPONENT SYSTEM%2C FRAGMENT,Signal transduction mechanisms,,Op123
cg0229,gltB,BX927147.1,,195241.0,199773.0,+,GLUTAMINE 2-OXOGLUTARATE AMINOTRANSFERASE LARGE SU,Amino acid transport and metabolism,,Op124
cg0230,gltD,BX927147.1,,199773.0,201293.0,+,GLUTAMINE 2-OXOGLUTARATE AMINOTRANSFERASE,Energy production and conversion,,Op124
cg0231,cg0231,BX927147.1,,201339.0,201581.0,-,membrane protein,No COG annotation,,Op125
cg0232,cg0232,BX927147.1,,201618.0,201776.0,-,hypothetical secreted protein,No COG annotation,,Op126
cg0233,cg0233,BX927147.1,,201758.0,203245.0,-,conserved hypothetical protein,Function unknown,,Op127
cg0235,embC,BX927147.1,,203539.0,207012.0,-,Probable arabinosyltransferase%2C membrane protein,Cell wall/membrane/envelope biogenesis,,Op128
cg0236,cg0236,BX927147.1,,207005.0,209038.0,-,membrane protein,Function unknown,Q8NTW4,Op128
cg0237,cg0237,BX927147.1,,209208.0,209969.0,-,PUTATIVE OXIDOREDUCTASE,Function unknown,,Op129
cg0238,cg0238,BX927147.1,,209990.0,211456.0,-,L-GULONOLACTONE OXIDASE,Energy production and conversion,,Op129
cg0239,cg0239,BX927147.1,,211533.0,211760.0,-,hypothetical protein,No COG annotation,,Op130
cg0240,cg0240,BX927147.1,,211778.0,212287.0,+,membrane protein,No COG annotation,,Op131
cg0241,cg0241,BX927147.1,,212284.0,212739.0,+,conserved hypothetical protein,No COG annotation,,Op131
cg0242,cg0242,BX927147.1,,212726.0,213661.0,+,hypothetical protein,No COG annotation,,Op131
cg0243,cg0243,BX927147.1,,213665.0,214111.0,+,membrane protein,Function unknown,,Op132
cg0244,cg0244,BX927147.1,,214122.0,214526.0,+,membrane protein,No COG annotation,,Op132
cg0245,cg0245,BX927147.1,,214528.0,215163.0,+,conserved hypothetical protein,Function unknown,,Op132
cg0246,cg0246,BX927147.1,,215160.0,216101.0,-,GLYCOSYL TRANSFERASE,Function unknown,,Op133
cg0247,cg0247,BX927147.1,,216114.0,216713.0,-,conserved hypothetical protein,Amino acid transport and metabolism,,Op133
cg0248,cg0248,BX927147.1,,217139.0,217930.0,-,PUTATIVE ABC-TYPE POLYSACCHARIDE/POLYOL PHOSPHATE EXPORT SYTEM%2C ATPASE,Carbohydrate transport and metabolism,,Op134
cg0249,cg0249,BX927147.1,,217941.0,218837.0,-,polysaccharide/polyol phosphate export systems%2C permease component,Carbohydrate transport and metabolism,,Op134
cg0250,cg0250,BX927147.1,,218950.0,220155.0,+,AMINOTRANSFERASE,Amino acid transport and metabolism,,Op135
cg0251,cg0251,BX927147.1,,220152.0,221108.0,-,QUINONE OXIDOREDUCTASE,Energy production and conversion,,Op136
cg0252,cg0252,BX927147.1,,221129.0,221656.0,-,membrane protein,No COG annotation,,Op136
cg0253,cg0253,BX927147.1,,221930.0,222211.0,+,Flavodoxin reductase,Energy production and conversion,,Op137
cg0254,cg0254,BX927147.1,,222208.0,223695.0,-,AMINO ACID CARRIER PROTEIN (SODIUM/ALANINE SYMPORTER),Amino acid transport and metabolism,,Op138
cg0255,cg0255,BX927147.1,,223790.0,224161.0,-,CAF18777.1,No COG annotation,,Op139
